Source Domain,Page URL,Error Code,Asset Type
http://gurukulvbs.com,https://gurukulvbs.com/events/,404,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/cropped-cropped-logo-cover-photo.webp?fit=180%2C180&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/logo_cover_photo-removebg-preview.webp?fit=977%2C255&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/logo_cover_photo-removebg-preview.webp?resize=300%2C78&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/91-98273-78766.webp?resize=300%2C198&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/91-98273-78766.webp?resize=768%2C506&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/untitled-design138.webp?resize=225%2C300&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/untitled-design139.webp?resize=300%2C200&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/untitled-design139.webp?resize=1024%2C683&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/untitled-design139.webp?resize=768%2C512&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/whatsapp_image_2024-05-12_at_12-43-25-removebg-preview.webp?w=433&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/untitled-design131.webp?fit=1080%2C720&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/untitled-design131.webp?w=1080&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/untitled-design131.webp?resize=300%2C200&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/untitled-design131.webp?resize=1024%2C683&ssl=1,429,unknown
